O;buena;tiene mucha experiencia en liquido ;nada;contento con sus compañeros ;hay que cambiar horarios, no tiene trabajo a primera horaen muchas ocasiones;"desmotiVA; economico";Tener trabajo desde su primera hora de trabajo;;;
P;generalmente buena ;está en diferentes secciones y eso se está aprovechando;curso carretillero, ;generalmente bueno entre compañeros, le genera mal estado el trato de su superior;incertidumbre con cambios de horario;"motiva: polivalencia; desmotiva: no se siente valorado economicamente, cambios de horarios";no se valora su polivalencia económicamente;;;
Q;actualmente peor;experiencia;nada ;ambiente bueno;en ocasiones se quedan parados y otras tienen exceso de trabajo;"desmotivan: salario, quitar nocturnidad; motivación: le gusta su trabajo";economicamente por su edad;siempre habrán errores, ;;
R;Bien pero mala organización del trabajo;No ;Si, pero si no va acorde al salario no. ;Bien pero con el encargado mala comunicación (formas);Comunicar nuevos horarios 10-15 días. Flujo de trabajo.;"Desmotivan: incertidumbre por ejemplo pago salario, gestión de horarios; motivan: nada.";Aprender más mejor, pero salario. ;;;
S;Buena;Experiencia;Flexible, más técnico, conocer el proceso de impresión con algún compañero. Mantenimiento de máquinas. ;Ambiente bueno en general. ;Crear mejor ambiente con actividades colectivas, socializar entre ellos. ;Motiva: hacer el trabajo bien, le gusta lo que hace. Desmotiva: cuellos de botella, sin trabajo durante horas. ;Relacionarse más con los compañeros, conocer más del acabado final. ;La mayoría de errores es por las prisas. Comunicarse mal, demasiada caña. Se dice lo malo y nunca lo bueno. ;;
T;Bien.;Manejar las planchas. ;Usar el CDI.;Bueno. ;Nada;Nada, de momento todo bien. ;Nada especialmente. ;;;
U;Buena.;Abierta, buena comunicación. Le gusta su trabajo. ;No.;Ambiente bueno. ;Gestión de tiempos. ;Su trabajo le gusta, desmotiva la organización. ;La organización. Refuerzo de personal. ;;;
V;con altibajos: sueldo, nocturnidaes;experiencia;NADA;Entre compañeros buena, con encargado mal (formas);los trabajos llegan con retraso;"desmotivar: salario; motivación: le gusta su trabajo";"profesional: nada; personal: economico";hay que prestar más atención, hay que comunicar los errores personalmente  e informar siempre al trabajador;;
W;Bueno pero no evolutiva, siempre hacen lo mismo;experiencia ;nada , solo quiere premontaje ;ambiente bueno, excepto con jefe de taller(formas);hay muchos espacios sin trabajo;"motivan:  no tiene ;desmotivan: hace mucha calor y no es productivo, le gustaría que hubiesen detalles: caja navidad, salario, etc";Con más detalles ;En líquido se detectan muchos errores aunque considera que los procedimientos están bien.;;
X;Buena;Buena adaptación, está en distintos puestos;Le gustaría premontar;Ambiente bueno pero con su encargado mal (no escucha);Que se notifique con tiempo cambios de turno, horarios, vacaciones, etc;"Motiva: le gusta su trabajo; desmotiva: formas de encargado, salario";No hacer noches le parece bien, ;Siempre habrán errores, comunicarlos con buenas formas.;;
